record_id,farmer_id,crop,state,lga,harvest_date,season,quantity_harvested_kg,post_harvest_loss_pct,quantity_sold_kg,farm_gate_price_per_kg,market_price_per_kg,gross_revenue_ngn,transport_mode,transport_cost_ngn,destination_market,days_to_market,storage_type,fertilizer_used,irrigation_used,cooperative_member
AGR-600010,FRM-05328,Cowpea,Benue,Gregoryfort,11/26/2022,Dry Season,9032.92,13.1,7849.61,452.19,1098.96,8626407.41,Motorcycle,2000,Gbagi Market,18,Cold Storage,No,Yes,No
AGR-600011,FRM-08232,Cowpea,Benue,Quinnside,2/20/2021,Dry Season,35447.48,13.5,30662.07,218.76,536.58,16452653.52,Rail,28700,Kantin Kwari,3,Open Air,Yes,Yes,No
AGR-600012,FRM-05033,Yam,Niger,Underwoodstad,8/24/2021,Dry Season,29554.32,25.7,21958.86,1287.5,1934.03,42469094.01,Van,31500,Wuse Market,10,Silo,Yes,No,Yes
AGR-600013,FRM-08856,Soybean,Plateau,Candiceburgh,5/4/2023,Dry Season,44963.49,17.7,37004.95,587.12,1296.11,47962485.74,Rail,31200,Dawanau Market,16,Cold Storage,Yes,Yes,Yes
AGR-600014,FRM-01601,Soybean,Zamfara,Elizabethside,3/21/2021,Wet Season,7976.29,33.2,5328.16,1820.32,3366.71,17938369.55,Boat,41400,Gbagi Market,14,None,Yes,No,Yes
AGR-600015,FRM-03821,Cassava,Ogun,New Michaelborough,1/28/2023,Wet Season,32408.89,12.5,28357.78,1909.44,5086.04,144228803.4,Truck,44400,Oyingbo,5,Silo,No,Yes,Yes
AGR-600016,FRM-01462,Plantain,Borno,Lake Michael,3/31/2022,Dry Season,34263.71,9.1,31145.71,804.66,2207.42,68751663.17,Van,21600,Oja Oba,18,Warehouse,Yes,Yes,No
AGR-600017,FRM-01635,Soybean,Cross River,New Marissa,9/9/2023,Dry Season,30547.68,32.9,20497.49,1620.69,2455.21,50325642.42,Rail,49100,Wuse Market,20,Open Air,No,No,Yes
AGR-600018,FRM-07916,Soybean,Ogun,East Tracy,6/7/2023,Off-Season,6115.25,2.8,5944.02,254.11,341.82,2031784.92,Truck,37500,Gbagi Market,7,Cold Storage,No,Yes,No
AGR-600019,FRM-08400,Tomato,Kano,Porterfurt,9/2/2022,Wet Season,26869.3,8.3,24639.15,1001.99,2601.37,64095545.64,Truck,26400,Eke Awka,1,Open Air,No,Yes,Yes
AGR-600020,FRM-00817,Groundnut,Plateau,Wheelerstad,8/14/2022,Wet Season,38113.15,27.4,27670.15,1189.75,3057.01,84587925.25,Motorcycle,48000,Kantin Kwari,21,Warehouse,Yes,No,Yes
AGR-600021,FRM-01629,Cassava,Ogun,East Davidton,6/27/2023,Off-Season,2090.59,18.8,1697.56,1990.51,2890.36,4906559.52,Motorcycle,10900,Gbagi Market,21,None,No,No,No
AGR-600022,FRM-08893,Maize,Plateau,New Debbiebury,7/8/2021,Dry Season,4621.46,25.2,3456.85,974.36,2481.99,8579867.13,Boat,14000,Oyingbo,7,Open Air,Yes,Yes,Yes
AGR-600023,FRM-04158,Soybean,Anambra,West Jenniferchester,5/13/2022,Dry Season,12217.63,10.7,10910.34,1814.55,3699.14,40358875.11,Van,19800,Dawanau Market,7,Open Air,No,Yes,Yes
AGR-600024,FRM-01370,Cowpea,Zamfara,East Marissa,8/24/2021,Dry Season,39192.7,18.9,31785.28,741.04,1837.5,58405452,Rail,18100,Oja Oba,1,None,No,No,Yes
AGR-600025,FRM-03288,Groundnut,Kano,Royberg,1/17/2022,Dry Season,16693.95,26.9,12203.28,1824.99,3077.31,37553275.58,Rail,27200,Oyingbo,4,Open Air,Yes,Yes,Yes
AGR-600026,FRM-00669,Tomato,Ogun,Lake Jeffreyton,2/25/2022,Wet Season,11915.73,4.7,11355.69,1107.87,2239.99,25436632.04,Van,17100,Wuse Market,18,Warehouse,No,No,Yes
AGR-600027,FRM-05629,Sorghum,Cross River,Lake Dennis,12/4/2022,Dry Season,14461.52,23.7,11034.14,964.94,2078.09,22929935.99,Motorcycle,11200,Dawanau Market,2,Warehouse,Yes,No,No
AGR-600028,FRM-05584,Wheat,Imo,Port Laurie,10/17/2023,Off-Season,49763.78,18.4,40607.24,549.94,789.98,32078907.46,Motorcycle,17800,Wuse Market,17,Warehouse,Yes,Yes,No
AGR-600029,FRM-07293,Rice,Imo,Guerrachester,7/26/2023,Dry Season,5325.05,27.5,3860.66,856.99,1208.8,4666765.81,Motorcycle,17900,Gbagi Market,17,Cold Storage,No,No,No
AGR-600030,FRM-08288,Pepper,Cross River,Port Tristanfort,6/9/2023,Dry Season,25406.73,13.9,21875.19,629.62,1420.13,31065613.57,Rail,46100,Eke Awka,18,Cold Storage,Yes,Yes,No
AGR-600031,FRM-03082,Wheat,Cross River,Lake Mary,9/28/2023,Off-Season,33974.7,23.4,26024.62,1425.47,3530.18,91871593.03,Boat,9400,Dawanau Market,20,Open Air,No,Yes,Yes
AGR-600032,FRM-02800,Rice,Ogun,West Leah,10/18/2022,Dry Season,21258.89,16.1,17836.21,1012.45,1402.59,25016889.78,Rail,5400,Mile 12,21,Open Air,Yes,No,No
AGR-600033,FRM-04911,Plantain,Kano,West Michael,8/19/2023,Off-Season,714.04,3.9,686.19,617.7,1739.32,1193503.99,Boat,18000,Kantin Kwari,1,Warehouse,Yes,Yes,Yes
AGR-600034,FRM-02167,Groundnut,Imo,Jonesmouth,4/24/2022,Wet Season,8464.41,14.9,7203.21,1855.78,3736.01,26911264.59,Truck,32200,Kantin Kwari,20,Open Air,Yes,Yes,No
AGR-600035,FRM-06032,Rice,Ogun,Malonebury,6/20/2023,Off-Season,40625.67,18.9,32947.42,975.13,2584.79,85162161.74,Rail,18600,Oja Oba,4,Open Air,No,No,Yes
AGR-600036,FRM-09686,Yam,Anambra,Thomasborough,5/23/2021,Off-Season,42425.13,31.9,28891.51,1310.38,3587.73,103654937.2,Boat,23500,Wuse Market,2,Cold Storage,No,No,Yes
AGR-600037,FRM-09572,Cassava,Plateau,South Cody,10/5/2023,Wet Season,38171.22,19.8,30613.32,1933.29,5561.65,170260571.2,Boat,35200,Mile 12,16,None,Yes,Yes,No
AGR-600038,FRM-05650,Wheat,Imo,Perezmouth,9/21/2022,Wet Season,19590.77,15.8,16495.43,1979.94,4124.75,68039524.89,Van,48200,Oja Oba,4,Open Air,Yes,Yes,No
AGR-600039,FRM-02217,Pepper,Niger,West Ana,11/2/2022,Wet Season,13071.44,23.3,10025.79,772.59,2151.49,21570386.93,Rail,12500,Oyingbo,18,None,Yes,Yes,Yes
AGR-600040,FRM-06088,Tomato,Oyo,Lake Carlosbury,10/16/2022,Dry Season,23516.41,9.3,21329.38,206.29,407.65,8694921.76,Van,5300,Eke Awka,19,None,No,No,Yes
AGR-600041,FRM-02893,Pepper,Kano,Allenshire,4/17/2021,Dry Season,16986.55,4.5,16222.16,1666.96,2978.74,48321596.88,Van,41200,Eke Awka,13,None,Yes,No,No
AGR-600042,FRM-01014,Groundnut,Zamfara,West Danielland,10/22/2021,Off-Season,8025.92,15.9,6749.8,1476.94,2396.47,16175693.21,Van,4400,Gbagi Market,14,Silo,No,Yes,Yes
AGR-600043,FRM-05961,Pepper,Cross River,North Margaret,6/30/2022,Off-Season,12289.27,13.9,10581.06,891.63,1703.57,18025576.38,Van,3100,Kantin Kwari,15,Cold Storage,No,No,Yes
AGR-600044,FRM-00151,Pepper,Oyo,Melindaborough,7/28/2023,Dry Season,36019.5,24.1,27338.8,609.51,1818.29,49709866.65,Boat,6500,Dawanau Market,6,None,No,Yes,No
AGR-600045,FRM-08577,Soybean,Plateau,Lake Andrew,7/29/2023,Off-Season,34114.36,20.3,27189.14,1781.52,3594.94,97743326.95,Motorcycle,23800,Wuse Market,5,None,No,Yes,Yes
AGR-600046,FRM-03989,Groundnut,Anambra,Steelefurt,2/3/2022,Dry Season,41744.26,32.9,28010.4,898.22,2251.79,63073538.62,Boat,28300,Dawanau Market,12,Open Air,No,No,No
AGR-600047,FRM-06406,Rice,Cross River,Port Phillipchester,6/25/2022,Dry Season,16832.59,12.8,14678.02,1664.19,2453.43,36011494.61,Rail,23500,Mile 12,3,Silo,Yes,No,No
AGR-600048,FRM-03276,Soybean,Anambra,Harveyshire,11/2/2021,Wet Season,34261.7,30.7,23743.36,252.03,712.72,16922367.54,Truck,12500,Gbagi Market,9,Open Air,Yes,No,Yes
AGR-600049,FRM-07453,Cassava,Anambra,Michellehaven,8/5/2021,Wet Season,1166.72,23.2,896.04,196.99,479.27,429445.09,Van,3400,Oja Oba,11,Warehouse,Yes,No,No
AGR-600050,FRM-02271,Cassava,Ogun,Bobbytown,2/5/2021,Wet Season,41774.65,16.4,34923.61,1404.63,3023.8,105602011.9,Van,25500,Eke Awka,3,Silo,Yes,Yes,Yes
AGR-600051,FRM-02013,Sorghum,Kaduna,North Carol,3/6/2022,Off-Season,16557.94,25.9,12269.43,1933.31,5724.46,70235861.26,Rail,47800,Kantin Kwari,10,Silo,No,No,Yes
AGR-600052,FRM-02501,Maize,Benue,Nicholasshire,3/8/2021,Off-Season,41646.08,15.5,35190.94,166.04,323.65,11389547.73,Motorcycle,14600,Gbagi Market,16,Silo,No,Yes,Yes
AGR-600053,FRM-00170,Cassava,Benue,East Shirleychester,6/19/2021,Off-Season,33148.93,28,23867.23,1515.37,2509.78,59901496.51,Van,27600,Oyingbo,4,None,Yes,Yes,No
AGR-600054,FRM-00379,Yam,Borno,Karenport,10/23/2022,Wet Season,6775.48,5.6,6396.05,861.64,2102.8,13449613.94,Van,28200,Mile 12,8,Cold Storage,Yes,Yes,Yes
AGR-600055,FRM-07351,Cowpea,Ogun,Coxview,9/12/2023,Off-Season,1388.78,26.1,1026.31,429.62,850.95,873338.49,Truck,26800,Wuse Market,5,None,Yes,No,Yes
AGR-600056,FRM-02432,Tomato,Imo,Lake Jenniferfort,4/18/2022,Wet Season,2756.39,16,2315.37,1445.21,2374.09,5496896.76,Van,27700,Kantin Kwari,10,Cold Storage,No,Yes,No
AGR-600057,FRM-02564,Rice,Zamfara,Simpsonberg,2/27/2022,Off-Season,28164.87,12.8,24559.77,649.83,1198.94,29445690.64,Truck,37900,Wuse Market,15,Open Air,No,No,Yes
AGR-600058,FRM-07744,Maize,Oyo,Palmerberg,6/10/2023,Wet Season,324.08,12.6,283.25,1227.88,2383.11,675015.91,Rail,45900,Eke Awka,21,Open Air,Yes,No,No
AGR-600059,FRM-00803,Plantain,Imo,South Tiffany,8/21/2022,Off-Season,3196.74,11.7,2822.72,1127.33,1920.48,5420977.31,Truck,2200,Wuse Market,6,None,Yes,Yes,Yes
AGR-600060,FRM-08085,Rice,Anambra,North Kaitlynmouth,1/14/2022,Off-Season,3826.77,29.2,2709.35,1405.81,2372.64,6428312.18,Van,9200,Wuse Market,1,Silo,Yes,Yes,Yes
AGR-600061,FRM-02955,Sorghum,Plateau,South Virginia,5/10/2021,Dry Season,7161.43,32.1,4862.61,1903.54,3795.77,18457349.16,Boat,38700,Oja Oba,8,None,Yes,No,No
AGR-600062,FRM-06931,Wheat,Kano,West Emilychester,8/27/2021,Wet Season,30330.18,24.7,22838.63,1927.04,2663.37,60827721.98,Motorcycle,11400,Dawanau Market,16,None,Yes,No,Yes
AGR-600063,FRM-04322,Plantain,Cross River,Bakerside,6/22/2023,Wet Season,25387.75,20.4,20208.65,1852.44,3276.98,66223341.88,Rail,1400,Kantin Kwari,9,None,Yes,No,No
AGR-600064,FRM-08496,Soybean,Benue,Lake Toddshire,5/6/2021,Off-Season,16490.21,8.5,15088.54,1439.23,3269.06,49325342.57,Truck,26700,Eke Awka,12,None,No,No,Yes
AGR-600065,FRM-06758,Cowpea,Plateau,South Emily,10/10/2022,Wet Season,355.37,3.1,344.35,971.2,2421.38,833802.2,Van,21000,Kantin Kwari,8,Cold Storage,No,No,No
AGR-600066,FRM-09825,Cassava,Anambra,Alexandraland,9/27/2023,Dry Season,19907.18,31.4,13656.33,448.8,1315.36,17962990.23,Boat,44700,Eke Awka,9,None,Yes,Yes,Yes
AGR-600067,FRM-01010,Groundnut,Imo,Eduardotown,11/30/2023,Wet Season,9592.7,19.6,7712.53,1822.67,5453.37,42059279.73,Van,35900,Oja Oba,3,Silo,No,Yes,Yes
AGR-600068,FRM-01446,Cassava,Borno,Castromouth,8/17/2021,Off-Season,46295.02,11.2,41109.98,1227,1704.17,70058394.62,Rail,46200,Mile 12,21,None,No,Yes,Yes
AGR-600069,FRM-05201,Plantain,Oyo,North Keith,9/26/2023,Wet Season,38462.82,22.6,29770.22,1459.64,2915.27,86788229.26,Boat,8400,Dawanau Market,2,Silo,No,No,Yes
AGR-600070,FRM-06292,Plantain,Oyo,Whitetown,7/8/2023,Off-Season,45206.08,9.5,40911.5,1970.89,3243.44,132693995.6,Van,26800,Dawanau Market,16,Cold Storage,Yes,No,No
AGR-600071,FRM-08958,Wheat,Kano,Daymouth,7/14/2023,Wet Season,24968.75,6.4,23370.75,656.31,1741.65,40703666.74,Rail,26100,Dawanau Market,18,Silo,Yes,No,No
AGR-600072,FRM-09309,Tomato,Ogun,Carterberg,10/5/2022,Off-Season,2880.16,18.8,2338.69,1796.52,2405.27,5625180.9,Motorcycle,47400,Eke Awka,19,Warehouse,Yes,Yes,Yes
AGR-600073,FRM-02561,Maize,Zamfara,Thompsonside,9/17/2023,Dry Season,30364.7,28.1,21832.22,629.6,1725.21,37665164.27,Truck,5100,Oyingbo,8,None,No,No,No
AGR-600074,FRM-04765,Maize,Kaduna,West Christopher,10/7/2022,Dry Season,8718.25,32.6,5876.1,376.7,1102.23,6476813.7,Van,8000,Mile 12,7,Silo,No,Yes,No
AGR-600075,FRM-01573,Rice,Benue,South Saraland,7/18/2021,Dry Season,36078.25,31.8,24605.37,690.84,1715.43,42208789.86,Truck,36300,Oja Oba,4,Open Air,Yes,No,Yes
AGR-600076,FRM-04628,Pepper,Zamfara,Holmesmouth,12/15/2022,Off-Season,46279.22,9.1,42067.81,54.57,150.98,6351397.95,Rail,24300,Mile 12,12,None,No,No,Yes
AGR-600077,FRM-02744,Sorghum,Benue,East James,7/20/2021,Wet Season,7417.51,2.9,7202.4,384.19,1039.83,7489271.59,Motorcycle,24700,Oyingbo,12,Silo,No,Yes,No
AGR-600078,FRM-07022,Yam,Borno,Amandaport,10/30/2022,Wet Season,34449.27,31.4,23632.2,1543.22,4621.97,109227319.4,Truck,22400,Oyingbo,21,Open Air,Yes,No,Yes
AGR-600079,FRM-00089,Cassava,Niger,Marshmouth,1/25/2023,Dry Season,23103.03,11,20561.7,1739.92,3967.16,81571553.77,Motorcycle,32300,Mile 12,3,Cold Storage,No,No,No
AGR-600080,FRM-02193,Groundnut,Ogun,Angelabury,2/26/2023,Wet Season,27397.58,9.4,24822.21,1468.62,3681.38,91379987.45,Truck,15000,Oja Oba,21,None,No,Yes,Yes
AGR-600081,FRM-08532,Soybean,Cross River,East James,11/10/2023,Wet Season,32937.84,21.8,25757.39,870.09,2222.44,57244253.83,Rail,18600,Oja Oba,8,None,Yes,No,Yes
AGR-600082,FRM-03289,Sorghum,Imo,Janiceberg,1/18/2022,Wet Season,15098.17,19.1,12214.42,64.01,114.89,1403314.71,Boat,30600,Wuse Market,1,Silo,Yes,No,No
AGR-600083,FRM-01146,Rice,Borno,Christinefurt,1/30/2023,Dry Season,29276.42,8,26934.31,1404.53,3315.11,89290200.42,Van,16300,Kantin Kwari,18,None,No,No,No
AGR-600084,FRM-06787,Groundnut,Niger,East Zacharytown,4/13/2023,Off-Season,19302.02,29.4,13627.23,1043.75,2836.38,38652002.63,Rail,1600,Kantin Kwari,19,Cold Storage,Yes,Yes,Yes
AGR-600085,FRM-01059,Maize,Benue,North Daniellemouth,8/7/2023,Off-Season,36096.12,15.6,30465.13,965.38,1411.49,43001226.34,Boat,45300,Eke Awka,8,Silo,No,Yes,No
AGR-600086,FRM-09876,Plantain,Cross River,North Desiree,9/11/2022,Wet Season,34626.16,21.8,27077.66,1889.92,4677.8,126663878,Truck,26700,Eke Awka,19,Silo,Yes,No,Yes
AGR-600087,FRM-02236,Groundnut,Anambra,Gillborough,4/10/2022,Dry Season,44443.42,8.5,40665.73,1596.85,3251.55,132226654.4,Van,46100,Oyingbo,1,Open Air,No,No,Yes
AGR-600088,FRM-02994,Cowpea,Borno,Barbarabury,12/31/2022,Dry Season,1915.43,31.1,1319.73,513.33,1085.24,1432223.79,Motorcycle,26500,Wuse Market,1,Silo,No,No,Yes
AGR-600089,FRM-09956,Pepper,Benue,Amandaborough,5/11/2023,Off-Season,5676.43,18,4654.67,838.21,1246.44,5801766.87,Motorcycle,1500,Kantin Kwari,9,Silo,Yes,Yes,Yes
AGR-600090,FRM-08833,Yam,Imo,North Marybury,10/25/2021,Dry Season,17797.35,12.2,15626.07,1893.5,3554.74,55546616.07,Truck,3500,Gbagi Market,3,None,No,Yes,No
AGR-600091,FRM-03769,Yam,Zamfara,Williamschester,9/21/2021,Wet Season,39856,16.6,33239.9,264.8,621.9,20671893.81,Truck,32400,Eke Awka,19,Warehouse,Yes,Yes,No
AGR-600092,FRM-05111,Groundnut,Cross River,North Janicefort,10/5/2023,Wet Season,37930.5,25.2,28372.01,1084.59,2648.44,75141566.16,Motorcycle,15300,Eke Awka,15,Silo,No,No,Yes
AGR-600093,FRM-04873,Groundnut,Imo,Kingmouth,10/12/2022,Off-Season,17817.84,6.9,16588.41,1314.41,3555.87,58986229.47,Motorcycle,8300,Wuse Market,1,None,No,Yes,No
AGR-600094,FRM-09800,Groundnut,Cross River,Port Maryshire,5/31/2021,Dry Season,923.24,18.6,751.52,809.5,1079.27,811092.99,Van,46100,Kantin Kwari,16,Open Air,No,Yes,Yes
AGR-600095,FRM-05795,Soybean,Plateau,Dixonport,9/7/2021,Dry Season,8966.54,32.1,6088.28,570.54,1345.26,8190319.55,Boat,13200,Oyingbo,3,Cold Storage,Yes,No,Yes
AGR-600096,FRM-03254,Maize,Niger,East Timothytown,1/2/2022,Off-Season,35081.63,22.4,27223.34,817.71,2237.15,60902695.08,Rail,25600,Dawanau Market,15,Silo,No,No,No
AGR-600097,FRM-07426,Groundnut,Anambra,South Georgeton,10/26/2023,Wet Season,14071.82,33.8,9315.54,1713.06,2911.5,27122194.71,Van,19300,Oja Oba,10,Cold Storage,No,Yes,No
AGR-600098,FRM-04769,Rice,Plateau,North Donnastad,10/5/2021,Wet Season,20681.47,17.2,17124.26,810.7,1806.31,30931722.08,Motorcycle,40700,Mile 12,18,Cold Storage,No,Yes,No
AGR-600099,FRM-04021,Cowpea,Cross River,Thomasstad,6/6/2022,Wet Season,1978,24.1,1501.3,174.29,259.65,389812.54,Rail,16300,Gbagi Market,16,Open Air,Yes,No,No
AGR-600100,FRM-01332,Cowpea,Kano,Delgadoshire,12/21/2023,Dry Season,39311.45,7.2,36481.03,1491.07,2780.33,101429302.1,Van,7500,Dawanau Market,4,Silo,No,No,Yes
AGR-600101,FRM-06071,Cassava,Benue,East Gregory,7/31/2022,Wet Season,45815.21,21.4,36010.76,1639.93,2732.08,98384277.18,Van,27000,Mile 12,15,Silo,Yes,Yes,Yes
AGR-600102,FRM-05599,Groundnut,Borno,Carpenterburgh,4/25/2023,Dry Season,1213.9,16.4,1014.82,1641.98,3786.08,3842189.71,Truck,17300,Mile 12,4,Cold Storage,No,Yes,No
AGR-600103,FRM-02389,Maize,Anambra,East Keith,5/22/2023,Off-Season,44627.89,4.5,42619.63,610.93,1277.22,54434643.83,Boat,18500,Wuse Market,8,Cold Storage,Yes,No,No
AGR-600104,FRM-01447,Maize,Kano,South Timothychester,4/21/2021,Dry Season,29630.43,23.1,22785.8,1940.34,3691.55,84114919.99,Truck,24800,Oyingbo,15,Open Air,Yes,No,No
AGR-600105,FRM-03030,Wheat,Zamfara,North Brittanyburgh,11/28/2021,Off-Season,45357.13,15.5,38326.77,253.99,514.52,19719889.7,Motorcycle,23100,Mile 12,13,Open Air,No,Yes,No
AGR-600106,FRM-06911,Yam,Anambra,Brandyside,4/11/2021,Dry Season,29293.4,20.2,23376.13,792.95,2178.11,50915782.51,Motorcycle,21100,Wuse Market,1,None,No,Yes,No
AGR-600107,FRM-06950,Soybean,Niger,Lake Mary,6/26/2023,Dry Season,11266.12,3.4,10883.07,1590.28,3396.68,36966306.21,Truck,9400,Kantin Kwari,21,Warehouse,Yes,Yes,Yes
AGR-600108,FRM-06010,Wheat,Ogun,East Vanessaberg,8/28/2021,Dry Season,10993.51,16.9,9135.61,1887.09,2552.89,23322207.41,Rail,38300,Dawanau Market,17,Open Air,No,No,Yes
AGR-600109,FRM-09398,Groundnut,Imo,Nathanport,9/4/2023,Off-Season,30780.66,8.9,28041.18,1936.62,3206.84,89923577.67,Rail,16000,Oyingbo,12,None,No,Yes,Yes
AGR-600110,FRM-07266,Maize,Kaduna,West Angelahaven,11/23/2021,Off-Season,47297.53,8.2,43419.13,53.65,103.8,4506905.69,Rail,47500,Oja Oba,17,None,No,No,No
AGR-600111,FRM-09884,Cassava,Kaduna,North Loristad,11/11/2022,Wet Season,48904.02,26.7,35846.65,1898.01,4450.48,159534798.9,Truck,33200,Oja Oba,7,None,Yes,Yes,Yes
AGR-600112,FRM-02468,Yam,Imo,Arielborough,11/17/2022,Dry Season,11333.59,23.7,8647.53,943.68,1946.78,16834838.45,Rail,6300,Dawanau Market,5,Cold Storage,No,No,Yes
AGR-600113,FRM-09349,Cassava,Borno,Alexmouth,1/17/2022,Wet Season,46247.18,26.6,33945.43,101.22,276.27,9378103.95,Boat,29400,Dawanau Market,17,Cold Storage,No,Yes,Yes
AGR-600114,FRM-07819,Rice,Cross River,Rothland,12/16/2021,Off-Season,47302.05,12,41625.8,886.94,1771.01,73719708.06,Boat,28700,Dawanau Market,13,Open Air,Yes,Yes,No
AGR-600115,FRM-09100,Wheat,Plateau,Bobbyhaven,10/9/2022,Off-Season,14803.88,8.4,13560.35,1897.18,2864.43,38842673.35,Boat,35800,Oja Oba,4,Silo,Yes,No,No
AGR-600116,FRM-05415,Tomato,Plateau,Hernandezfurt,5/28/2021,Dry Season,30566.39,21.9,23872.35,1523.65,4547.52,108559989.1,Rail,41500,Dawanau Market,21,Cold Storage,Yes,No,No
AGR-600117,FRM-05630,Tomato,Zamfara,South Johnmouth,12/24/2021,Dry Season,24088.55,21.9,18813.16,1961.53,3564.03,67050666.63,Van,28400,Eke Awka,5,Open Air,No,Yes,Yes
AGR-600118,FRM-08856,Sorghum,Niger,Sellersmouth,12/4/2022,Wet Season,4049.92,24.6,3053.64,1005.79,1724.05,5264628.04,Truck,36200,Dawanau Market,12,Silo,No,Yes,Yes
AGR-600119,FRM-07677,Yam,Kaduna,East Danielleton,10/19/2021,Off-Season,40527.59,11.5,35866.92,1756.05,2920.19,104738221.1,Truck,24000,Oyingbo,15,None,No,Yes,No
AGR-600120,FRM-02151,Sorghum,Kaduna,South Elizabeth,9/11/2021,Wet Season,11827.18,5.9,11129.38,632.55,1469.55,16355180.38,Rail,39100,Wuse Market,18,Open Air,Yes,No,No
AGR-600121,FRM-03699,Rice,Cross River,Port Mollychester,10/26/2022,Wet Season,45422.2,17.4,37518.74,1641.18,2831.45,106232436.4,Motorcycle,39900,Gbagi Market,10,None,Yes,Yes,Yes
AGR-600122,FRM-04463,Groundnut,Niger,Mathewshire,2/24/2021,Off-Season,34595.74,6.6,32312.42,776.99,1820.75,58832838.71,Van,25000,Gbagi Market,7,Cold Storage,Yes,Yes,No
AGR-600123,FRM-04053,Wheat,Ogun,Port Jamesberg,8/8/2022,Off-Season,9598.9,23.1,7381.55,1849.57,2716.41,20051316.24,Truck,17600,Oyingbo,18,Open Air,No,Yes,Yes
AGR-600124,FRM-04884,Maize,Anambra,Lake Alexandermouth,9/24/2022,Wet Season,8476.24,28,6102.89,111.67,260.51,1589863.87,Rail,16300,Oyingbo,11,Open Air,Yes,No,Yes
AGR-600125,FRM-07662,Tomato,Oyo,New Michael,10/23/2023,Wet Season,33040.73,9.4,29934.9,393.88,902.94,27029418.61,Motorcycle,20700,Mile 12,8,Warehouse,No,Yes,No
AGR-600126,FRM-07780,Sorghum,Zamfara,Johnchester,12/20/2022,Wet Season,19170.69,4.5,18308.01,1716.24,4265.61,78094830.54,Truck,9700,Wuse Market,9,Cold Storage,Yes,No,Yes
AGR-600127,FRM-07897,Pepper,Borno,Lake Lisa,1/23/2022,Wet Season,10545.48,30.6,7318.56,993.65,2535.71,18557745.78,Motorcycle,34700,Wuse Market,1,None,No,Yes,Yes
AGR-600128,FRM-00732,Maize,Zamfara,Jasonstad,10/18/2023,Wet Season,19047.97,15.7,16057.44,1013.89,1617.27,25969215.99,Van,49400,Kantin Kwari,6,None,No,Yes,Yes
AGR-600129,FRM-04501,Plantain,Ogun,Johnstonberg,9/15/2021,Dry Season,28700.32,23.6,21927.04,369.64,759.13,16645473.88,Rail,24600,Mile 12,13,Warehouse,No,No,Yes
AGR-600130,FRM-08821,Soybean,Imo,Angelafort,6/16/2022,Off-Season,37528,10.7,33512.5,1768.1,4442.82,148890005.3,Truck,4700,Wuse Market,16,Open Air,Yes,Yes,No
AGR-600131,FRM-00111,Wheat,Imo,South Maryburgh,1/8/2022,Dry Season,49687.28,34.7,32445.79,1150.17,2385.08,77385804.81,Van,8600,Oyingbo,1,None,Yes,Yes,Yes
